Ligand No.,Carbene Ligand,EHOMO(s),ELUMO(s),Et-s,PA,He8_steric,BE(Au),Au-Cl,Au-C,Δ C-A (Au),Δ A-C-B (Au),Q(Au fragm.),BE (Pd),Pd-Cl trans,Pd-C,Δ C-A (Pd),Δ A-C-B (Pd),Q(Pd fragm.),BE (Ru),Ru-C,Δ C-A (Ru),Δ A-C-B (Ru),Q(Ru fragm.),< Cl-Ru-Cl,< P-Ru-P,Ru-Cl,Ru-P
C19,Im(Me)2N(Me)2,-0.149,0.0168,86.57,281.3,12.89,94.12,2.312,1.996,-0.008,3.4,-0.2874,53.36,2.384,1.977,-0.006,3,-1.3088,72.02,1.98,0.011,2,-0.4524,157.9,172.9,2.438,2.334
C20,Im(F)2N(Me)2,-0.1719,-0.0025,100.26,265.92,11.04,89.16,2.304,1.992,-0.009,3.1,-0.2593,53.29,2.374,1.972,-0.009,2.9,-1.268,68.57,1.967,0.01,1.7,-0.4147,157.7,172.6,2.432,2.337
C21,Im(Cl)2N(Me)2,-0.1802,-0.0244,-,264.63,12.85,87.28,2.304,1.993,-0.007,2.9,-0.25241,52.83,2.371,1.973,-0.005,2.7,-1.25135,66.93,1.967,0.015,1.2,-0.4005,157.3,171,2.432,2.339
C22,Im(NO2)2N(Me)2,-0.2135,-0.1515,-,243.67,16.86,79.27,2.294,1.987,-0.006,2.9,-0.203,54.56,2.358,1.965,-0.003,2.7,-1.1399,61.38,1.942,0.022,1,-0.3212,157.4,168.2,2.425,2.35
C23,BImN(Me)2,-0.1684,-0.0423,77.28,273.03,16.22,90.13,2.306,1.996,-0.01,3.4,-0.2529,51.94,2.375,1.963,-0.006,3,-1.2642,68.91,1.957,0.012,1.8,-0.3921,156.3,174.2,2.426,2.34
C24,Py(b)ImN(Me)2,-0.1767,-0.0562,-,266.601176132021,12.8006226596743,89.7872673590165,2.303,1.99,-0.0089999999999999,3.5,-0.2428,56.178074200918,2.371,1.953,-0.00499999999999989,3.2,-1.2432,70.8841006296685,1.949,0.0170000000000001,1.60000000000001,-0.3688,155.7,172,2.425,2.341
C25,DPyIm,-0.1554,-0.0674,46.46,275.43,17.01,89.49,2.306,1.994,-0.007,3.6,-0.2686,35.46,2.381,2.11,0.022,0.9,-1.0975,69.3,1.969,0.01,2.8,-0.412,156.7,177.5,2.428,2.339
C26,IBioxMe4,-0.1513,0.0132,63.65,279.23,28.7,92.61,2.316,1.994,-0.008,3.9,-0.2839,53.36,2.384,1.976,-0.01,3.6,-1.2914,57.48,2.003,0.024,3.3,-0.4298,142.3,171.2,2.427,2.337
C27,PerN(iPr)2,-0.159,-0.0511,56.65,278.49,44.38,83.37,2.311,2.046,0.002,2.7,-0.2335,52.25,2.373,2.005,0.001,2.4,-1.2489,44.66,2.042,0.03,-1.1,-0.3685,133.8,167.9,2.464,2.349
C28,ThNMe,-0.1794,-0.0426,68.24,261.19,4.93,86.35,2.305,1.979,-0.002,3.6,-0.1985,48.25,2.374,1.95,0.002,3.3,-1.2115,70.91,1.931,0.029,2.3,-0.3413,159.4,173.6,2.424,2.34
C29,OxNMe,-0.1798,-0.0193,81.9,257.53,3.05,86.72,2.299,1.974,-0.014,3.4,-0.2219,47.79,2.371,1.947,-0.01,3,-1.2458,71.92,1.91,0.007,2.4,-0.3725,162.3,171.7,2.421,2.339
C30,BOxNMe,-0.1856,-0.0566,73.5089728679976,260.525001643524,3.14889904014443,86.8423821704037,2.295,1.967,-0.0149999999999999,3.5,-0.2085,50.0404037814334,2.366,1.932,-0.0069999999999999,2.8,-1.2085,74.3090474804394,1.901,0.00900000000000012,2,-0.336,161.9,171.2,2.418,2.342
